movie_id,title,genres,director,cast,keywords,overview,vote_average,vote_count,popularity,release_year,runtime,language
15,The Hunter: Part 1,Adventure Comedy Thriller,Alfonso Cuaron,Jennifer Lawrence Jake Gyllenhaal Dustin Hoffman,heist forest sword vampire journey survival snow,A action-packed an exiled warrior must save their family before a catastrophic event destroys everything they hold dear.,5.7,8217,72.26,1989,139,de
16,Return of Destiny 5,Drama Thriller,Bryan Singer,Joaquin Phoenix Will Smith Jack Nicholson,corruption city dragon love election prison detective,"In a action-packed tale of power and corruption, an exiled warrior confronts a deadly conspiracy that will test their very soul.",6.6,48281,17.8,1975,111,ja
17,Edge of Origin: Part 1,Fantasy Drama Crime,Christopher Nolan,Brad Pitt Hugh Jackman Bruce Willis,betrayal chase desert clone sword vampire forest,"In a mysterious tale of courage and sacrifice, two unlikely allies confronts an ancient evil that will test their very soul.",8.4,45657,52.28,1973,146,fr
18,Last Labyrinth: Part 2,Western History Thriller,Joel Coen,Geoffrey Rush Mark Wahlberg Denzel Washington,underground journey superhero clone family treasure,"In a chilling tale of justice and revenge, two unlikely allies confronts a deadly conspiracy that will test their very soul.",5.8,35449,8.98,1979,104,es
19,Lost Wolf 2,Sport Western Thriller,Steven Spielberg,Harrison Ford Benedict Cumberbatch Joaquin Phoenix,war sword forest mystery love space corruption,"In a mysterious tale of justice and revenge, an exiled warrior confronts an unstoppable force that will test their very soul.",6.4,1952,39.5,2012,161,hi
20,Fall of Phoenix: Part 1,Sci-Fi,JJ Abrams,Anthony Hopkins Tom Hanks Al Pacino,magic chase zombie friendship journey forest,"Set in a crime-ridden metropolis, the film follows a young prodigy as they navigate moral dilemmas and uncover a hidden identity.",8.6,30872,2.92,2004,81,de
21,Broken Empire,Action Crime,Peter Jackson,Christian Bale Bruce Willis Matt Damon,detective chase journey ocean alien hacker heist,"When a lone hero discovers an ancient prophecy, they are drawn into a heart-breaking world of a war-torn land.",9.2,13047,8.52,2014,181,ko
22,Broken Warrior: Part 3,War,Darren Aronofsky,Brad Pitt Charlize Theron Russell Crowe,revolution ocean betrayal conspiracy dystopia love,"In a mysterious tale of courage and sacrifice, a lone hero confronts a catastrophic event that will test their very soul.",8.0,42678,27.74,2021,192,ja
23,Dawn of Labyrinth: Part 3,Mystery Fantasy Animation,Tim Burton,Mark Wahlberg Hugh Jackman Samuel L. Jackson,virus revolution forest dystopia war cult time travel,"When two unlikely allies discovers an ancient prophecy, they are drawn into a mysterious world of a crime-ridden metropolis.",7.1,33907,94.86,1975,105,ko
24,Return of Infinity 3,Western Action Animation Musical,Peter Jackson,Jared Leto Hugh Jackman Natalie Portman,ocean mystery dragon treasure space snow mutation,"Set in a magical realm, the film follows a young prodigy as they navigate political intrigue and uncover an ancient prophecy.",5.7,48735,54.05,2018,163,fr
25,Hidden Wolf: Part 2,Comedy Drama Musical,Peter Jackson,Angelina Jolie Will Smith Natalie Portman,prophecy magic family,A desperate an exiled warrior must uncover the truth before a shadowy organisation destroys everything they hold dear.,5.6,31423,44.61,1981,198,en
26,Silent Odyssey 2,Animation War Adventure Crime,James Cameron,Anthony Hopkins Natalie Portman Al Pacino,heist dragon desert hacker,two unlikely allies embarks on a action-packed journey through a distant galaxy to stop a deadly conspiracy once and for all.,9.4,20063,57.29,1973,153,ko
27,Last Wolf: Part 2,Documentary,Peter Jackson,Will Smith Geoffrey Rush Robert De Niro,love desert underground hacker,"In a heart-breaking tale of courage and sacrifice, a lone hero confronts a catastrophic event that will test their very soul.",9.1,41013,59.39,2021,194,fr
28,Return of Hunter,Crime Animation Adventure,Ridley Scott,Natalie Portman Dustin Hoffman Anthony Hopkins,underground heist chase corruption city,"Set in a war-torn land, the film follows an exiled warrior as they navigate political intrigue and uncover a long-buried secret.",8.0,39614,25.79,1975,104,ko
29,Kingdom of Legend,Biography History,Gore Verbinski,Mark Wahlberg Meryl Streep Will Smith,snow clone cult redemption mystery space desert,"Set in a distant galaxy, the film follows a lone hero as they navigate a personal crisis and uncover a hidden identity.",8.5,36101,4.63,1975,115,de
30,Forgotten Hunter,Thriller Adventure Drama History,Alfonso Cuaron,Jack Nicholson Sylvester Stallone Mark Wahlberg,detective family dragon,"When a young prodigy discovers a long-buried secret, they are drawn into a heart-breaking world of a war-torn land.",5.7,946,55.67,1975,103,hi
31,Last Labyrinth,Musical History Horror Thriller,Joel Coen,Bruce Willis Hugh Jackman Samuel L. Jackson,robot forest vampire hacker conspiracy magic betrayal,"Set in a crime-ridden metropolis, the film follows a hardened detective as they navigate a personal crisis and uncover a long-buried secret.",7.2,43299,49.47,1979,132,ja
32,Dawn of Chronicle: Part 3,Western Mystery Drama Fantasy,JJ Abrams,Joaquin Phoenix Keanu Reeves Benedict Cumberbatch,time travel mystery forest,"In a chilling tale of justice and revenge, two unlikely allies confronts an ancient evil that will test their very soul.",8.8,28905,10.87,1999,76,ko
33,Lost Redemption 3,Mystery Sci-Fi Animation,Ethan Coen,Emma Stone Russell Crowe Joaquin Phoenix,clone cult prophecy survival virus,A thrilling a hardened detective must save their family before an ancient evil destroys everything they hold dear.,4.9,19675,90.44,1972,116,hi
34,A Horizon 4,Fantasy History,Guillermo del Toro,Anthony Hopkins Will Smith Denzel Washington,redemption virus forest election,"When an exiled warrior discovers a hidden identity, they are drawn into a mysterious world of a crime-ridden metropolis.",7.7,30540,90.22,2013,144,fr
35,Dark Sacrifice 4,Horror Western Musical Drama,Alejandro Inarritu,Bruce Willis Johnny Depp Hugh Jackman,sword space election prison clone war,"In a heart-breaking tale of courage and sacrifice, a lone hero confronts an ancient evil that will test their very soul.",7.3,23139,22.68,1982,154,de
36,Lost Warrior 2,War,Alfonso Cuaron,Christian Bale Al Pacino Cate Blanchett,desert zombie vampire magic prophecy,"Set in a distant galaxy, the film follows an exiled warrior as they navigate a personal crisis and uncover an ancient prophecy.",8.4,30742,96.33,1979,171,fr
37,Fall of Prophecy,Sport Comedy Western,Alfonso Cuaron,Scarlett Johansson Daniel Day-Lewis Joaquin Phoenix,revenge election spy mystery war,a hardened detective embarks on a action-packed journey through a distant galaxy to stop a shadowy organisation once and for all.,4.6,3021,94.68,1989,138,en
38,Last Phantom 3,Sport Thriller Crime,Robert Zemeckis,Benedict Cumberbatch Johnny Depp Sylvester Stallone,desert family survival ocean detective underground hacker,"When a lone hero discovers an ancient prophecy, they are drawn into a heart-breaking world of a post-apocalyptic city.",5.0,8055,94.95,2022,133,en
39,Hidden Legend,War Drama,Quentin Tarantino,Geoffrey Rush Harrison Ford Daniel Day-Lewis,spy dystopia robot hacker,A heart-breaking two unlikely allies must save their family before an unstoppable force destroys everything they hold dear.,4.7,23527,79.21,1985,150,de
40,The Titan,History Comedy Animation Biography,Francis Ford Coppola,Angelina Jolie Arnold Schwarzenegger Daniel Day-Lewis,underground conspiracy spy,an exiled warrior embarks on a desperate journey through a post-apocalyptic city to stop a deadly conspiracy once and for all.,6.3,7125,49.54,1998,84,en
41,Forgotten Sentinel 2,Sci-Fi History Musical,Francis Ford Coppola,Arnold Schwarzenegger Dustin Hoffman Jake Gyllenhaal,heist mutation dragon,"When a young prodigy discovers an ancient prophecy, they are drawn into a mysterious world of a distant galaxy.",8.0,20533,43.25,2012,107,de
42,Lost Odyssey,Thriller,Martin Scorsese,Angelina Jolie Christian Bale Geoffrey Rush,gun dragon dystopia,A mysterious a hardened detective must escape captivity before an ancient evil destroys everything they hold dear.,4.6,33303,22.06,2012,136,fr
43,Last Chronicle 4,Thriller Sport,Paul Thomas Anderson,Jack Nicholson Geoffrey Rush Tom Hanks,revolution family war zombie election corruption dystopia,"Set in a post-apocalyptic city, the film follows two unlikely allies as they navigate impossible odds and uncover a hidden identity.",4.5,34815,22.3,1996,133,de
44,Final Prophecy 4,Adventure,James Cameron,Denzel Washington Jack Nicholson Morgan Freeman,family underground revolution,"In a mysterious tale of love and loss, an exiled warrior confronts a deadly conspiracy that will test their very soul.",5.9,7317,29.04,2013,150,es
45,Age of Frontier 2,Action,David Fincher,Natalie Portman Harrison Ford Christian Bale,prison time travel heist love cult,"In a thrilling tale of justice and revenge, two unlikely allies confronts an unstoppable force that will test their very soul.",4.4,48680,5.19,1971,133,en
46,Forgotten Judgment: Part 3,Musical Comedy Sci-Fi Action,Denis Villeneuve,Denzel Washington Jack Nicholson Samuel L. Jackson,redemption snow revenge superhero gun,"In a action-packed tale of courage and sacrifice, a lone hero confronts a catastrophic event that will test their very soul.",4.4,41549,12.29,2002,99,hi
47,Rise of Chronicle,Horror Drama,Ridley Scott,Dustin Hoffman Ryan Gosling Robert De Niro,clone cult chase sword,an exiled warrior embarks on a mysterious journey through a magical realm to stop a catastrophic event once and for all.,6.6,41428,30.98,1987,150,en
48,Rise of Abyss 2,Adventure Family Romance Musical,Quentin Tarantino,Al Pacino Jack Nicholson Dustin Hoffman,forest chase gun dragon survival underground sword,"When an exiled warrior discovers a shocking truth, they are drawn into a heart-breaking world of a post-apocalyptic city.",8.5,22557,98.26,1975,139,ko
49,Final Dragon 3,History Family Documentary Romance,Alfonso Cuaron,Cate Blanchett Joaquin Phoenix Benedict Cumberbatch,election hacker friendship clone mutation,"Set in a crime-ridden metropolis, the film follows a hardened detective as they navigate a personal crisis and uncover a hidden identity.",8.8,21897,9.07,2012,93,de
50,Eternal Revelation: Part 3,Musical,Ron Howard,Joaquin Phoenix Emma Stone Christian Bale,redemption mutation snow conspiracy ocean war virus,"Set in a magical realm, the film follows two unlikely allies as they navigate impossible odds and uncover a shocking truth.",4.4,6678,51.26,2004,181,ko
51,Age of Dragon,Crime Documentary War Sport,Guy Ritchie,Mark Wahlberg Brad Pitt Benedict Cumberbatch,election superhero underground virus prison,"In a thrilling tale of power and corruption, an exiled warrior confronts a catastrophic event that will test their very soul.",9.4,30306,77.17,2019,123,ja
52,Age of Redemption: Part 1,Horror Adventure,Gore Verbinski,Bruce Willis Angelina Jolie Geoffrey Rush,treasure heist prison,A thrilling a hardened detective must escape captivity before an unstoppable force destroys everything they hold dear.,8.5,22960,93.12,1996,81,es
53,Age of Prophecy,Fantasy Action Mystery,Tony Scott,Johnny Depp Emma Stone Ryan Gosling,survival prison mystery magic,"In a mysterious tale of courage and sacrifice, an exiled warrior confronts an ancient evil that will test their very soul.",7.0,47710,61.28,1997,89,hi
54,Eternal Phantom,Thriller Western,Quentin Tarantino,Matt Damon Sylvester Stallone Dustin Hoffman,war clone conspiracy sword superhero robot prison,"In a desperate tale of love and loss, an exiled warrior confronts a shadowy organisation that will test their very soul.",6.9,23682,7.7,2003,144,ja
55,Age of Legend,Romance Horror Action Family,Darren Aronofsky,Robert De Niro Charlize Theron Hugh Jackman,gun dystopia magic,A heart-breaking an exiled warrior must uncover the truth before a shadowy organisation destroys everything they hold dear.,4.3,30044,4.66,1982,80,hi
56,Hidden Dragon: Part 2,Sport Biography Horror Adventure,Paul Thomas Anderson,Tom Cruise Cate Blanchett Charlize Theron,mutation dystopia family,A heart-breaking a young prodigy must escape captivity before a deadly conspiracy destroys everything they hold dear.,7.8,24124,92.51,2003,109,hi
57,Dark Judgment: Part 2,Sport Musical,Denis Villeneuve,Johnny Depp Al Pacino Jennifer Lawrence,corruption underground hacker snow alien,"In a heart-breaking tale of love and loss, a young prodigy confronts a catastrophic event that will test their very soul.",4.4,41830,41.21,2002,177,ko
58,Final Legend: Part 3,Adventure Crime Animation Fantasy,Paul Thomas Anderson,Angelina Jolie Joaquin Phoenix Anthony Hopkins,hacker robot election,"In a heart-breaking tale of justice and revenge, a hardened detective confronts an ancient evil that will test their very soul.",6.2,42619,28.59,1977,78,ko
59,Final Infinity,Horror Western Drama,Zack Snyder,Cate Blanchett Sylvester Stallone Tom Cruise,magic betrayal underground,"When a young prodigy discovers an ancient prophecy, they are drawn into a chilling world of a post-apocalyptic city.",5.6,19707,85.28,2015,165,ko
60,Final Prophecy,Fantasy Biography,Christopher Nolan,Angelina Jolie Geoffrey Rush Anthony Hopkins,chase dragon magic virus redemption,A heart-breaking a young prodigy must escape captivity before an unstoppable force destroys everything they hold dear.,4.7,20826,64.59,1998,134,ko
61,Age of Chronicle: Part 3,Crime Thriller,Clint Eastwood,Morgan Freeman Matt Damon Liam Neeson,corruption alien time travel spy,"Set in a war-torn land, the film follows a hardened detective as they navigate a personal crisis and uncover a shocking truth.",7.4,40317,53.81,2002,157,fr
62,Kingdom of Sentinel: Part 3,War Adventure Action,Quentin Tarantino,Brad Pitt Anthony Hopkins Scarlett Johansson,sword desert virus clone,A mysterious an exiled warrior must uncover the truth before a catastrophic event destroys everything they hold dear.,6.5,45178,6.93,1998,128,es
63,Shadow of Wolf,Mystery Romance Sci-Fi,James Cameron,Angelina Jolie Arnold Schwarzenegger Geoffrey Rush,time travel superhero chase,A heart-breaking a young prodigy must save their family before a shadowy organisation destroys everything they hold dear.,8.8,27452,25.58,1980,179,de
64,Kingdom of Destiny 3,Biography Musical Family Action,Quentin Tarantino,Jared Leto Arnold Schwarzenegger Samuel L. Jackson,detective gun space friendship,A heart-breaking a young prodigy must unite the factions before a deadly conspiracy destroys everything they hold dear.,6.4,17382,73.02,2018,126,de
65,A Revelation: Part 3,Romance Sport,Wes Anderson,Robert De Niro Joaquin Phoenix Arnold Schwarzenegger,dragon family virus mutation heist magic,A mysterious a hardened detective must uncover the truth before an unstoppable force destroys everything they hold dear.,6.8,32823,4.99,1972,92,ko
66,Forgotten Odyssey: Part 1,Mystery Family,Ridley Scott,Jared Leto Jack Nicholson Natalie Portman,dystopia conspiracy revolution prophecy cult sword corruption,"In a desperate tale of love and loss, a hardened detective confronts an ancient evil that will test their very soul.",7.3,17451,96.74,2020,199,hi
67,Kingdom of Ghost 2,History Sci-Fi,James Cameron,Hugh Jackman Brad Pitt Anthony Hopkins,vampire war underground,"Set in a war-torn land, the film follows two unlikely allies as they navigate unexpected betrayals and uncover a hidden identity.",8.8,48273,73.01,2015,92,ja
68,Hidden Destiny 5,Documentary Western Sport,Denis Villeneuve,Russell Crowe Charlize Theron Scarlett Johansson,mystery vampire superhero family dragon corruption spy,"Set in a crime-ridden metropolis, the film follows two unlikely allies as they navigate unexpected betrayals and uncover a hidden identity.",5.6,37633,67.99,1994,189,es
69,Rise of Sentinel 4,Romance,Tony Scott,Mark Wahlberg Scarlett Johansson Bruce Willis,vampire prophecy family dragon,"Set in a magical realm, the film follows a lone hero as they navigate political intrigue and uncover a shocking truth.",5.2,15309,6.2,1996,117,ko
70,Dawn of Warrior: Part 1,Thriller Biography,Stanley Kubrick,Tom Cruise Cate Blanchett Jennifer Lawrence,mutation friendship redemption sword spy,a lone hero embarks on a chilling journey through a post-apocalyptic city to stop a deadly conspiracy once and for all.,5.0,49136,96.25,1988,187,en
71,Shadow of Infinity 3,Drama Comedy Mystery,Ridley Scott,Samuel L. Jackson Scarlett Johansson Will Smith,dystopia prison sword,"When an exiled warrior discovers a forgotten past, they are drawn into a thrilling world of a crime-ridden metropolis.",7.7,12159,98.19,2000,116,fr
72,The Specter 5,Mystery Musical Action,Tim Burton,Angelina Jolie Hugh Jackman Morgan Freeman,chase corruption alien,"In a chilling tale of courage and sacrifice, an exiled warrior confronts an ancient evil that will test their very soul.",5.2,8803,48.34,1999,170,ja
73,Rise of Redemption: Part 3,Fantasy Animation,Clint Eastwood,Mark Wahlberg Liam Neeson Angelina Jolie,sword heist friendship,two unlikely allies embarks on a action-packed journey through a magical realm to stop an unstoppable force once and for all.,6.4,44633,21.33,2007,137,en
74,Age of Sacrifice,Western War Adventure Family,Bryan Singer,Natalie Portman Tom Hanks Jared Leto,love detective gun betrayal survival,"In a heart-breaking tale of justice and revenge, a lone hero confronts an ancient evil that will test their very soul.",6.2,8925,76.82,2016,157,es
75,Rise of Covenant 5,Sport,James Cameron,Charlize Theron Matt Damon Will Smith,city treasure magic spy love war corruption,"In a chilling tale of identity and belonging, an exiled warrior confronts an unstoppable force that will test their very soul.",5.9,18114,19.66,2016,172,en
76,A Redemption,Comedy,Zack Snyder,Brad Pitt Mark Wahlberg Dustin Hoffman,superhero survival city,"In a thrilling tale of courage and sacrifice, an exiled warrior confronts an ancient evil that will test their very soul.",8.5,47990,58.03,2006,151,hi
77,Forgotten Phantom: Part 1,Thriller Musical,Tim Burton,Morgan Freeman Geoffrey Rush Daniel Day-Lewis,clone election snow dragon,"In a desperate tale of courage and sacrifice, a hardened detective confronts an unstoppable force that will test their very soul.",5.6,12100,75.69,2000,105,hi
78,Broken Frontier,Thriller Sport History Crime,Alejandro Inarritu,Hugh Jackman Scarlett Johansson Harrison Ford,mutation redemption underground ocean prophecy,"When a hardened detective discovers a forgotten past, they are drawn into a desperate world of a post-apocalyptic city.",8.4,38557,72.71,2005,102,es
79,Hidden Origin,Comedy Biography,Tony Scott,Hugh Jackman Dustin Hoffman Harrison Ford,superhero dragon time travel prison forest chase,a hardened detective embarks on a chilling journey through a war-torn land to stop a catastrophic event once and for all.,4.5,47394,47.48,2023,115,fr
80,Rise of Destiny: Part 1,Crime Action,Tim Burton,Geoffrey Rush Daniel Day-Lewis Benedict Cumberbatch,robot vampire dystopia spy forest,a young prodigy embarks on a thrilling journey through a distant galaxy to stop a catastrophic event once and for all.,4.9,23130,17.76,2016,144,es
81,Final Kingdom: Part 1,Action,Guillermo del Toro,Christian Bale Keanu Reeves Robert De Niro,love detective conspiracy chase,"Set in a post-apocalyptic city, the film follows an exiled warrior as they navigate political intrigue and uncover a hidden identity.",7.0,826,2.66,2016,110,ja
82,Eternal Legend,History,James Cameron,Hugh Jackman Tom Cruise Jack Nicholson,journey space family city redemption ocean clone,"In a action-packed tale of identity and belonging, two unlikely allies confronts a catastrophic event that will test their very soul.",6.1,36271,48.12,2010,76,ko
83,Final Alliance: Part 2,War Comedy History,Tony Scott,Brad Pitt Keanu Reeves Harrison Ford,mystery family survival betrayal revolution prophecy sword,A thrilling a hardened detective must stop the villain before a shadowy organisation destroys everything they hold dear.,5.6,37009,24.81,2023,183,es
84,War of Origin,History,Guy Ritchie,Charlize Theron Morgan Freeman Johnny Depp,spy betrayal dystopia hacker virus clone,"In a heart-breaking tale of power and corruption, a lone hero confronts a deadly conspiracy that will test their very soul.",9.2,28351,19.39,2007,159,es
85,Dark Horizon,Horror,James Cameron,Joaquin Phoenix Ryan Gosling Jennifer Lawrence,revenge redemption love corruption underground,"Set in a distant galaxy, the film follows a lone hero as they navigate moral dilemmas and uncover a shocking truth.",7.1,26791,11.23,1975,120,ja
86,Dark Destiny 5,Sci-Fi Animation Sport Fantasy,JJ Abrams,Liam Neeson Denzel Washington Joaquin Phoenix,magic family corruption cult,"When two unlikely allies discovers a hidden identity, they are drawn into a desperate world of a crime-ridden metropolis.",6.0,16210,72.37,2001,151,ja
87,Hidden Labyrinth 2,Sci-Fi,Denis Villeneuve,Jack Nicholson Joaquin Phoenix Emma Stone,dystopia snow mutation hacker magic corruption,"Set in a distant galaxy, the film follows two unlikely allies as they navigate a personal crisis and uncover a shocking truth.",8.0,41527,49.61,2006,175,fr
88,Forgotten Covenant 4,War,David Fincher,Daniel Day-Lewis Russell Crowe Will Smith,war chase detective underground prison betrayal desert,"In a thrilling tale of love and loss, a hardened detective confronts a catastrophic event that will test their very soul.",6.5,39236,48.44,1995,143,ja
89,Return of Dragon: Part 3,Comedy,Paul Thomas Anderson,Hugh Jackman Charlize Theron Denzel Washington,survival sword mutation city dystopia snow revenge,A desperate a hardened detective must save their family before an unstoppable force destroys everything they hold dear.,5.2,24568,39.72,2019,161,ja
90,Age of Sentinel 4,Musical,Guillermo del Toro,Al Pacino Matt Damon Ryan Gosling,corruption dystopia chase detective treasure,"In a heart-breaking tale of justice and revenge, a young prodigy confronts a deadly conspiracy that will test their very soul.",4.2,46631,12.39,2024,118,ko
91,Last Phoenix,Mystery Sport,Guillermo del Toro,Samuel L. Jackson Keanu Reeves Jared Leto,zombie clone revolution snow,"In a desperate tale of love and loss, an exiled warrior confronts a deadly conspiracy that will test their very soul.",7.9,13536,28.56,2015,178,hi
92,Dark Warrior 3,Western Comedy,Tim Burton,Sylvester Stallone Liam Neeson Jennifer Lawrence,forest virus city gun heist space hacker,"In a action-packed tale of justice and revenge, two unlikely allies confronts an unstoppable force that will test their very soul.",4.6,20063,12.58,1993,163,fr
93,Age of Covenant,Thriller Documentary Biography War,Ron Howard,Denzel Washington Sylvester Stallone Cate Blanchett,zombie time travel underground virus,A heart-breaking a lone hero must escape captivity before a shadowy organisation destroys everything they hold dear.,7.6,26863,68.78,1996,165,hi
94,Shadow of Infinity: Part 1,Fantasy,Wes Anderson,Brad Pitt Meryl Streep Keanu Reeves,prison alien chase sword cult dragon conspiracy,A action-packed a lone hero must uncover the truth before an unstoppable force destroys everything they hold dear.,7.0,27912,11.14,2023,158,hi
95,Broken Frontier 2,Animation Western Comedy,Paul Thomas Anderson,Hugh Jackman Harrison Ford Daniel Day-Lewis,virus clone snow alien magic,"When a lone hero discovers a forgotten past, they are drawn into a thrilling world of a crime-ridden metropolis.",4.9,46190,29.97,2006,109,hi
96,Age of Warrior,Crime Family Fantasy,James Cameron,Jennifer Lawrence Hugh Jackman Jared Leto,robot sword clone family desert forest,"In a desperate tale of identity and belonging, a lone hero confronts an unstoppable force that will test their very soul.",5.8,212,87.02,2024,168,en
97,Shadow of Chronicle 2,Thriller Drama,Stanley Kubrick,Meryl Streep Jennifer Lawrence Cate Blanchett,dragon sword magic cult dystopia,A desperate a lone hero must escape captivity before an ancient evil destroys everything they hold dear.,4.0,28086,21.03,2014,191,fr
98,Eternal Phoenix: Part 1,Horror Animation Romance,Bryan Singer,Denzel Washington Morgan Freeman Jared Leto,spy snow mutation redemption revenge,A thrilling a young prodigy must stop the villain before a shadowy organisation destroys everything they hold dear.,4.1,45636,35.01,1977,185,es
99,Lost Odyssey 2,Comedy,Martin Scorsese,Jennifer Lawrence Angelina Jolie Natalie Portman,forest magic mutation election,"When an exiled warrior discovers a forgotten past, they are drawn into a desperate world of a magical realm.",8.0,41211,75.08,1996,153,ko
100,Last Covenant 4,Fantasy Horror,Gore Verbinski,Al Pacino Hugh Jackman Geoffrey Rush,hacker election prison war corruption detective treasure,two unlikely allies embarks on a action-packed journey through a magical realm to stop a catastrophic event once and for all.,4.6,32790,64.17,1974,142,en
101,Rise of Destiny: Part 2,Romance Sport Documentary Biography,Paul Thomas Anderson,Robert De Niro Tom Hanks Daniel Day-Lewis,love journey detective,A desperate a young prodigy must unite the factions before a catastrophic event destroys everything they hold dear.,4.5,35214,54.23,1979,110,en
102,Eternal Alliance: Part 1,Sci-Fi War Animation,Wes Anderson,Jake Gyllenhaal Hugh Jackman Morgan Freeman,redemption snow heist chase,a lone hero embarks on a action-packed journey through a post-apocalyptic city to stop a shadowy organisation once and for all.,4.9,22771,52.78,2020,180,ko
103,Silent Phoenix: Part 1,Comedy Action Mystery,Darren Aronofsky,Jake Gyllenhaal Meryl Streep Liam Neeson,journey sword clone,A mysterious a young prodigy must unite the factions before a catastrophic event destroys everything they hold dear.,6.0,16769,77.56,2006,161,ko
104,Last Ghost,Adventure Biography,Alfonso Cuaron,Joaquin Phoenix Ryan Gosling Will Smith,dragon mutation desert,"When two unlikely allies discovers an ancient prophecy, they are drawn into a heart-breaking world of a post-apocalyptic city.",4.7,44177,90.29,1981,103,hi
105,Age of Dragon 5,Musical Mystery Animation,Ron Howard,Samuel L. Jackson Leonardo DiCaprio Angelina Jolie,prison sword corruption virus,"When a hardened detective discovers a shocking truth, they are drawn into a mysterious world of a war-torn land.",4.0,26922,3.37,2004,119,ko
106,The Origin 2,Comedy Drama History,Peter Jackson,Benedict Cumberbatch Sylvester Stallone Morgan Freeman,family redemption survival spy,a hardened detective embarks on a mysterious journey through a post-apocalyptic city to stop an ancient evil once and for all.,7.5,25894,8.41,2006,82,es
107,Lost Phantom 4,Mystery Family Western Horror,Peter Jackson,Robert De Niro Tom Cruise Christian Bale,revenge robot election alien underground chase time travel,"In a desperate tale of justice and revenge, an exiled warrior confronts a shadowy organisation that will test their very soul.",8.7,5975,16.6,2013,113,hi
